[06-Nov-2025 08:16:55 Europe/Berlin] Adding to cart - user_id: 1, session_id: oievl3avnrgeinvg89k21i6cm8, product_id: 1, name: iPhone 15, price: 999, category: Phones, quantity: 1
[06-Nov-2025 08:16:59 Europe/Berlin] Adding to cart - user_id: 1, session_id: oievl3avnrgeinvg89k21i6cm8, product_id: 2, name: Samsung Galaxy S23, price: 899, category: Phones, quantity: 1
[06-Nov-2025 08:17:01 Europe/Berlin] Adding to cart - user_id: 1, session_id: oievl3avnrgeinvg89k21i6cm8, product_id: 3, name: Google Pixel 8, price: 799, category: Phones, quantity: 1
[06-Nov-2025 08:17:04 Europe/Berlin] Adding to cart - user_id: 1, session_id: oievl3avnrgeinvg89k21i6cm8, product_id: 4, name: OnePlus 11, price: 699, category: Phones, quantity: 1
[06-Nov-2025 08:17:46 Europe/Berlin] Adding to cart - user_id: 1, session_id: oievl3avnrgeinvg89k21i6cm8, product_id: 11, name: iPad Pro 11, price: 899, category: Tablets, quantity: 1
[07-Nov-2025 04:26:29 Europe/Berlin] Adding to cart - user_id: 1, session_id: v3q9gfh59vbop0jmieelr8srlk, product_id: 1, name: iPhone 15, price: 999, category: Phones, quantity: 1
[07-Nov-2025 04:40:17 Europe/Berlin] Adding to cart - user_id: 1, session_id: 3kpvmku6jd26f453bt101hlb4a, product_id: 1, name: iPhone 15, price: 999, category: Phones, quantity: 1
[07-Nov-2025 04:46:25 Europe/Berlin] Adding to cart - user_id: 1, session_id: 0qgfii3l9e0jfpq5s3u0emqb44, product_id: 1, name: iPhone 15, price: 999, category: Phones, quantity: 1
[07-Nov-2025 04:55:06 Europe/Berlin] Adding to cart - user_id: 1, session_id: 682bd7folrdc44cvkgmrc595mt, product_id: 1, name: iPhone 15, price: 999, category: Phones, quantity: 1
[07-Nov-2025 04:56:39 Europe/Berlin] Adding to cart - user_id: 1, session_id: 682bd7folrdc44cvkgmrc595mt, product_id: 8, name: Lenovo ThinkPad X1, price: 1499, category: Laptops, quantity: 1
[07-Nov-2025 05:00:13 Europe/Berlin] Adding to cart - user_id: 1, session_id: hgbdod63efedm3kkmhnldi951q, product_id: 1, name: iPhone 15, price: 999, category: Phones, quantity: 1
[07-Nov-2025 07:29:25 Europe/Berlin] Adding to cart - user_id: 2, session_id: nr3br3kosl5dcmn59a72d80jrp, product_id: 1, name: iPhone 15, price: 999, category: Phones, quantity: 1
[07-Nov-2025 07:29:46 Europe/Berlin] Adding to cart - user_id: 2, session_id: nr3br3kosl5dcmn59a72d80jrp, product_id: 10, name: ASUS ROG Zephyrus G14, price: 1599, category: Laptops, quantity: 1
